date,ticker,close,volume,pct_1d,pct_5d,sma20,rsi14,quality,action,recommendation
2026-08-31,CYH,2.915,499775,-0.512,-3.156,2.9518,57.43,watch,WATCH,Watch
2026-08-31,SABR,2.18,1648202,-0.909,-3.54,2.1442,62.34,watch,WATCH,Watch
2026-08-31,AMPY,4.885,579657,2.626,2.197,4.5593,63.07,watch,WATCH,Watch
2026-08-31,ABUS,5.07,1682545,0.0,-2.5,4.836,65.63,watch,WATCH,Watch
2026-09-01,VRRM,4.215,1350139,-4.853,-4.853,4.6532,29.88,watch,WATCH,Watch
2026-09-01,UWMC,1.425,4911487,-1.724,-5.629,1.4733,43.97,watch,WATCH,Watch
2026-09-01,TYGO,1.065,238863,-0.467,1.429,1.1517,29.33,watch,WATCH,Watch
2026-09-01,SITC,2.985,346125,1.186,0.168,3.0303,50.5,watch,WATCH,Watch
2026-09-01,AISP,2.0308,126494,-4.657,-9.742,2.059,47.82,watch,WATCH,Watch
2026-09-01,NAGE,3.1198,97683,-0.326,-4.593,3.127,54.27,watch,WATCH,Watch
2026-09-01,AREC,2.2998,533135,-2.551,-15.449,2.621,32.63,watch,WATCH,Watch
2026-09-01,GORO,3.59,359129,-2.71,-7.235,3.011,68.54,watch,WATCH,Watch
2026-09-01,SPRO,1.2,252785,-1.639,-2.439,1.2228,51.92,watch,WATCH,Watch
2026-09-01,VFF,2.88,310976,0.0,0.0,2.569,75.34,watch,WATCH,Watch
2026-09-01,ALTO,3.9799,650797,0.503,-0.253,4.219,46.42,watch,WATCH,Watch
2026-09-01,MDXG,4.525,261106,-0.33,4.263,4.3368,61.84,watch,WATCH,Watch
2026-09-01,GDRX,3.54,443230,1.433,1.871,3.5863,47.31,watch,WATCH,Watch
2026-09-01,ARKO,4.635,365358,1.645,-0.749,4.9467,55.93,watch,WATCH,Watch
2026-09-01,TBLA,3.72,825022,-0.268,0.541,3.8583,41.3,watch,WATCH,Watch
2026-09-01,HLLY,2.91,189616,1.748,0.692,3.029,38.18,watch,WATCH,Watch
2026-09-01,CYH,2.9,209840,-0.685,-2.357,2.949,48.89,watch,WATCH,Watch
2026-09-01,SABR,2.061,806021,-5.023,-8.805,2.1408,50.06,watch,WATCH,Watch
2026-09-01,AMPY,4.95,289266,0.61,5.996,4.6095,70.29,watch,WATCH,Watch
2026-09-01,ABUS,5.06,587185,-0.394,-2.692,4.8685,69.11,watch,WATCH,Watch
2026-09-02,VRRM,4.215,673790,1.079,-4.853,4.6422,30.68,watch,WATCH,Watch
2026-09-02,UWMC,1.45,4763887,5.839,-3.974,1.4685,46.34,watch,WATCH,Watch
2026-09-02,TYGO,1.06,232983,0.0,0.952,1.15,28.95,watch,WATCH,Watch
2026-09-02,SITC,2.985,194865,2.931,-1.485,3.0113,46.9,watch,WATCH,Watch
2026-09-02,AISP,2.11,153682,2.927,-6.222,2.061,52.33,watch,WATCH,Watch
2026-09-02,NAGE,3.175,120184,1.438,-2.905,3.1217,60.0,watch,WATCH,Watch
2026-09-02,AREC,2.38,874811,3.03,-10.861,2.6335,35.14,watch,WATCH,Watch
2026-09-02,GORO,3.76,408736,5.028,-2.842,3.016,71.43,watch,WATCH,Watch
2026-09-02,SPRO,1.215,65602,1.25,-1.22,1.2235,54.9,watch,WATCH,Watch
2026-09-02,VFF,2.93,345194,3.169,1.736,2.568,76.25,watch,WATCH,Watch
2026-09-02,ALTO,4.175,551956,3.856,4.637,4.2262,54.37,watch,WATCH,Watch
2026-09-02,MDXG,4.575,321026,1.217,5.415,4.3403,63.72,watch,WATCH,Watch
2026-09-02,GDRX,3.55,368619,2.601,2.158,3.5833,47.92,watch,WATCH,Watch
2026-09-02,ARKO,4.71,241035,4.667,0.857,4.957,58.39,watch,WATCH,Watch
2026-09-02,TBLA,3.84,697788,2.949,3.784,3.8618,48.0,watch,WATCH,Watch
2026-09-02,HLLY,2.89,119217,0.697,0.0,3.0255,37.04,watch,WATCH,Watch
2026-09-02,CYH,2.905,235570,-0.853,-2.189,2.9493,49.46,watch,WATCH,Watch
2026-09-02,SABR,2.085,1116431,3.731,-7.743,2.1325,51.41,watch,WATCH,Watch
2026-09-02,AMPY,4.99,388457,0.0,6.852,4.623,71.13,watch,WATCH,Watch
2026-09-02,ABUS,5.145,1222391,1.081,-1.058,4.8738,72.11,watch,WATCH,Watch
